date,/m/06z04
2020-02-01,52
2020-02-02,78
2020-02-03,60
2020-02-04,52
2020-02-05,55
2020-02-06,55
2020-02-07,56
2020-02-08,36
2020-02-09,66
2020-02-10,55
2020-02-11,31
2020-02-12,46
2020-02-13,65
2020-02-14,55
2020-02-15,54
2020-02-16,63
2020-02-17,76
2020-02-18,51
2020-02-19,66
2020-02-20,47
2020-02-21,80
2020-02-22,68
2020-02-23,48
2020-02-24,60
2020-02-25,48
2020-02-26,36
2020-02-27,46
2020-02-28,66
2020-02-29,32
2020-03-01,48
2020-03-02,51
2020-03-03,66
2020-03-04,71
2020-03-05,62
2020-03-06,55
2020-03-07,58
2020-03-08,51
2020-03-09,59
2020-03-10,61
2020-03-11,34
2020-03-12,52
2020-03-13,31
2020-03-14,66
2020-03-15,44
2020-03-16,39
2020-03-17,33
2020-03-18,51
2020-03-19,42
2020-03-20,43
2020-03-21,58
2020-03-22,67
2020-03-23,32
2020-03-24,60
2020-03-25,63
2020-03-26,69
2020-03-27,51
2020-03-28,82
2020-03-29,58
2020-03-30,72
2020-03-31,79
2020-04-01,79
2020-04-02,66
2020-04-03,52
2020-04-04,79
2020-04-05,86
2020-04-06,85
2020-04-07,75
2020-04-08,65
2020-04-09,82
2020-04-10,80
2020-04-11,98
2020-04-12,87
2020-04-13,49
2020-04-14,84
2020-04-15,88
2020-04-16,72
2020-04-17,53
2020-04-18,54
2020-04-19,55
2020-04-20,71
2020-04-21,83
2020-04-22,84
2020-04-23,61
2020-04-24,100
2020-04-25,75
2020-04-26,75
2020-04-27,67
2020-04-28,54
2020-04-29,66
2020-04-30,71
2020-05-01,78
2020-05-02,81
2020-05-03,85
2020-05-04,45
2020-05-05,72
2020-05-06,82
2020-05-07,83
2020-05-08,77
2020-05-09,58
2020-05-10,64
2020-05-11,78
2020-05-12,63
2020-05-13,65
2020-05-14,75
2020-05-15,90
2020-05-16,62
2020-05-17,74
2020-05-18,70
2020-05-19,73
2020-05-20,87
2020-05-21,62
2020-05-22,60
2020-05-23,70
2020-05-24,70
2020-05-25,69
2020-05-26,87
2020-05-27,54
2020-05-28,74
2020-05-29,54
2020-05-30,59
2020-05-31,92
